dataset,accuracy_mean,accuracy_standard_deviation,time_training_seconds,time_test_seconds
ACSF1,0.882,0.011661903789690611,2.216986866700245,2.22386400009982
Adiac,0.7826086956521738,0.007142833781979018,1.2175927917000082,1.0471747374003826
AllGestureWiimoteX,0.7751428571428571,0.011324526390060805,2.3365218248003656,5.172845550000057
AllGestureWiimoteY,0.7814285714285715,0.006259686371487619,2.3831361501002903,5.225841258099717
AllGestureWiimoteZ,0.7635714285714286,0.0022360679774997704,2.4829212668002585,5.387624258499636
ArrowHead,0.809142857142857,0.007317856271351822,0.15030738759996895,0.6699138836002021
BME,1.0,0.0,0.07693299179991299,0.303870554200148
Beef,0.8066666666666666,0.01333333333333333,0.22178135810008826,0.21424213739992412
BeetleFly,0.9,0.0,0.16794857939985378,0.16592914999982897
BirdChicken,0.9,0.0,0.1688881334001053,0.16478007080022505
CBF,0.9998888888888888,0.0003333333333333188,0.06668426679934783,1.7338898503001474
Car,0.9016666666666666,0.01166666666666666,0.5430726164999214,0.5247561372003474
Chinatown,0.9825072886297376,0.0013038297244896677,0.014932441300152276,0.1352936376000798
ChlorineConcentration,0.8115625,0.010770803110853813,1.2505172956000024,9.228756266700112
